Country,Overallrank,Overall mean BMI (kg/m2),Female rank,Female mean BMI (kg/m2),Male rank,Male mean BMI (kg/m2)
Maldives,128,25.1,98,25.9,127,24.2
Lesotho,129,24.9,56,27.1,151,22.7
Mauritania,130,24.8,81,26.4,142,23.2
Sao Tome and Principe,130,24.8,106,25.6,131,23.9
Botswana,132,24.7,77,26.6,147,22.9
Cabo Verde,132,24.7,114,25.4,131,23.9
Cameroon,134,24.4,123,25.1,133,23.8
Namibia,135,24.3,106,25.6,147,22.9
Ghana,136,24.2,123,25.1,139,23.4
Comoros,137,24.1,123,25.1,145,23
Thailand,137,24.1,135,24.6,136,23.6
Angola,137,24.1,135,24.6,138,23.5
Haiti,137,24.1,148,24,127,24.2
The Gambia,141,24,123,25.1,145,23
Liberia,141,24,131,24.9,142,23.2
China,143,23.9,157,23.6,127,24.2
South Korea,143,23.9,160,23.4,125,24.3
Pakistan,145,23.8,140,24.4,141,23.3
Bhutan,145,23.8,144,24.2,139,23.4
Singapore,147,23.7,165,23.2,125,24.3
Côte d'Ivoire,148,23.6,145,24.1,142,23.2
Zimbabwe,149,23.4,129,25,172,21.8
Benin,149,23.4,142,24.3,153,22.6
Nigeria,149,23.4,148,24,150,22.8
Republic of the Congo,152,23.3,145,24.1,155,22.5
Djibouti,152,23.3,153,23.9,151,22.7
Togo,154,23.2,148,24,157,22.4
Philippines,154,23.2,160,23.4,147,22.9
Guinea-Bissau,156,23.1,153,23.9,162,22.2
Tanzania,156,23.1,148,24,162,22.2
Senegal,158,23,145,24.1,172,21.8
Kenya,158,23,148,24,169,21.9
Sri Lanka,158,23,159,23.5,155,22.5
Indonesia,161,22.9,160,23.4,157,22.4
Sierra Leone,162,22.8,157,23.6,168,22
Malawi,162,22.8,163,23.3,161,22.3
Mali,162,22.8,168,23,153,22.6
Guinea,165,22.7,163,23.3,164,22.1
Zambia,166,22.6,155,23.8,178,21.5
Myanmar,166,22.6,165,23.2,164,22.1
Laos,166,22.6,171,22.7,157,22.4
Japan,166,22.6,183,21.7,136,23.6
Central African Republic,170,22.4,165,23.2,176,21.6
Mozambique,171,22.3,168,23,176,21.6
Chad,171,22.3,173,22.5,164,22.1
Democratic Republic of the Congo,173,22.2,173,22.5,172,21.8
Nepal,173,22.2,178,22,157,22.4
Burkina Faso,175,22.1,178,22,164,22.1
Uganda,176,22,168,23,185,21
Rwanda,176,22,171,22.7,182,21.3
Somalia,178,21.9,173,22.5,184,21.2
India,178,21.9,177,22.1,172,21.8
Cambodia,178,21.9,178,22,169,21.9
North Korea,181,21.8,181,21.8,169,21.9
Niger,182,21.7,176,22.2,182,21.3
Vietnam,183,21.6,184,21.6,178,21.5
Afghanistan,183,21.6,181,21.8,178,21.5
Timor-Leste,185,21.2,188,21,178,21.5
Madagascar,186,21.1,186,21.2,186,20.9
Bangladesh,187,21,186,21.2,187,20.7
Burundi,188,20.9,185,21.3,188,20.4
Ethiopia,189,20.6,188,21,189,20.2
Eritrea,190,20.5,188,21,190,20.1
Liechtenstein,-,-,-,-,-,-
Monaco,-,-,-,-,-,-
San Marino,-,-,-,-,-,-
Taiwan,-,-,-,-,-,-
Vatican City,-,-,-,-,-,-
